,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,attention,Warning
35,35,voici,here is
36,36,pourrais,could
37,37,affaire,case
38,39,type,type
39,40,leurs,their
40,41,donné,given
41,42,train,train
42,43,corps,body
43,44,endroit,place
44,45,yeux,eyes
45,46,façon,way
46,48,dont,whose
47,49,trouve,find
48,50,premier,first
49,51,perdu,lost
50,52,main,hand
51,53,première,first
52,54,côté,side
53,55,pouvoir,power
54,56,vieux,old
55,57,sois,be
56,58,tiens,here
57,59,matin,morning
58,60,enfant,child
59,61,point,point
60,62,venu,came
61,63,suite,after
62,64,pardon,sorry
63,65,venez,come
64,66,devant,in front of
65,67,vers,towards
66,68,minutes,minutes
67,69,demandé,request
68,70,chambre,bedroom
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,mari,husband
75,77,cause,cause
76,78,espère,hope
77,79,eau,water
78,80,parti,left
79,81,nouvelle,new
80,82,boulot,job
81,83,arrêter,Stop
82,84,dirait,would say
83,85,terre,Earth
84,86,compte,account
85,87,loin,far
86,88,fin,end
87,89,croire,believe
88,90,chérie,sweetheart
89,91,gros,large
90,92,plutôt,rather
91,93,aura,will have
92,94,filles,girls
93,95,jouer,to play
94,96,bureau,office
